1	81	79
2	63	90
6	62	69
7	63	74
4	50	66
1	60	50
1	61	47
4	39	69
5	62	16
3	65	50
6	46	81
4	72	78
4	48	63
6	59	69
6	48	65
4	47	52
3	67	26
2	47	79
2	58	48
6	55	34
4	46	80
1	93	71
2	80	89
2	73	80
4	37	25
1	56	73
7	61	81
2	62	78
5	44	68
4	54	60
5	66	90
2	68	41
2	71	67
2	48	54
2	58	40
4	49	57
5	78	48
4	47	67
1	62	89
3	61	76
6	43	25
2	52	40
4	58	62
2	72	56
6	69	70
1	60	64
1	58	68
3	53	73
5	68	44
2	68	92
5	49	73
1	71	56
4	77	63
1	41	50
2	44	70
6	55	44
1	61	32
2	51	45
3	67	60
2	54	39
6	62	37
1	59	82
2	81	66
5	75	59
2	67	33
4	71	54
1	71	66
3	68	49
5	53	68
7	63	63
1	53	68
6	60	59
7	74	50
7	72	58
4	68	70
1	55	37
5	48	59
2	71	50
4	41	59
4	43	73
1	90	56
4	66	80
6	77	77
1	53	58
2	64	75
1	59	57
1	97	41
5	78	68
2	57	63
3	44	52
4	55	56
2	58	86
1	59	100
7	56	78
7	31	84
4	46	56
7	74	73
3	66	71
2	59	41
4	56	61
2	35	66
2	50	47
4	62	59
4	55	69
1	60	60
1	53	75
1	38	40
1	62	73
2	48	36
4	42	78
4	71	83
1	67	78
1	66	68
1	51	51
1	48	77
1	73	82
5	64	57
2	57	80
2	78	51
2	63	87
5	50	71
2	68	23
2	79	64
1	68	91
1	73	65
5	59	66
5	47	58
4	62	76
5	47	44
5	64	59
3	56	75
2	52	81
2	46	49
4	29	58
1	69	68
5	48	69
4	63	65
4	73	62
2	72	63
7	49	65
4	57	82
4	21	67
3	72	51
2	57	57
5	52	41
6	38	49
4	83	63
7	46	72
1	62	44
2	62	73
2	44	46
4	63	40
1	46	50
6	61	42
5	48	73
5	63	72
7	68	97
2	63	68
7	26	50
5	40	60
3	52	99
4	62	58
7	68	50
3	64	71
3	29	62
2	63	63
2	44	55
4	76	81
1	43	50
7	39	38
4	73	78
4	52	41
1	20	8
3	85	91
2	65	88
4	55	76
6	58	67
2	89	57
5	60	82
5	58	46
2	66	71
6	78	55
1	47	87
6	58	91
4	60	72
2	55	92
1	66	67
2	66	74
5	72	55
2	60	70
3	46	58
3	55	75
1	70	84
2	46	67
1	57	65
4	46	40
5	65	29
5	42	90
1	67	71
2	77	39
2	61	43
2	49	89
1	48	50
4	69	34
3	100	69
5	66	73
2	63	50
6	73	60
1	63	63
2	47	46
2	65	100
6	83	86
1	49	89
2	53	100
2	66	92
3	61	42
5	40	90
2	55	87
3	59	99
7	67	51
4	52	23
1	64	94
2	63	61
3	57	69
1	52	74
4	68	26
1	65	66
2	64	91
2	54	52
4	68	53
5	60	25
4	63	70
2	76	63
2	54	57
2	50	68
7	68	67
1	34	63
1	39	78
3	66	90
6	58	83
1	53	77
4	61	62
4	58	71
4	62	88
2	95	70
3	87	51
1	93	55
3	53	83
1	36	47
4	72	70
7	71	81
3	75	84
1	44	61
2	82	33
3	45	38
6	81	35
7	65	55
2	73	85
2	62	91
2	50	14
1	74	64
7	53	82
5	57	78
2	67	59
6	62	80
4	31	67
3	42	100
2	55	62
3	43	97
2	68	62
3	70	56
2	75	59
